starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 09:50:16 2014	1407570616	347	916	1263	916
Sat Aug 09 09:50:16 2014	1407570616	338	926	1264	926
Sat Aug 09 09:50:16 2014	1407570616	320	945	1265	945
Sat Aug 09 09:50:16 2014	1407570616	320	946	1267	946
Sat Aug 09 09:50:16 2014	1407570616	338	930	1268	930
Sat Aug 09 09:50:16 2014	1407570616	320	948	1268	948
Sat Aug 09 09:50:16 2014	1407570616	320	949	1269	949
Sat Aug 09 09:50:16 2014	1407570616	325	945	1270	944
Sat Aug 09 09:50:16 2014	1407570616	350	921	1271	921
Sat Aug 09 09:50:16 2014	1407570616	340	932	1271	932
Sat Aug 09 09:50:16 2014	1407570616	338	934	1271	934
Sat Aug 09 09:50:16 2014	1407570616	320	952	1272	952
Sat Aug 09 09:50:16 2014	1407570616	350	923	1273	923
Sat Aug 09 09:50:16 2014	1407570616	350	924	1274	923
Sat Aug 09 09:50:16 2014	1407570616	320	954	1274	954
Sat Aug 09 09:50:16 2014	1407570616	340	935	1275	935
Sat Aug 09 09:50:16 2014	1407570616	321	955	1275	955
Sat Aug 09 09:50:16 2014	1407570616	351	925	1276	925
Sat Aug 09 09:50:16 2014	1407570616	321	956	1276	956
Sat Aug 09 09:50:16 2014	1407570616	351	926	1276	926
Sat Aug 09 09:50:16 2014	1407570616	310	967	1277	967
Sat Aug 09 09:50:16 2014	1407570616	321	956	1277	956
Sat Aug 09 09:50:16 2014	1407570616	350	927	1277	927
Sat Aug 09 09:50:16 2014	1407570616	340	938	1278	938
Sat Aug 09 09:50:16 2014	1407570616	338	940	1278	940
Sat Aug 09 09:50:16 2014	1407570616	310	968	1278	968
Sat Aug 09 09:50:16 2014	1407570616	338	941	1279	941
Sat Aug 09 09:50:16 2014	1407570616	340	939	1279	939
Sat Aug 09 09:50:16 2014	1407570616	310	969	1279	969
Sat Aug 09 09:50:16 2014	1407570616	349	931	1280	931
Sat Aug 09 09:50:16 2014	1407570616	321	960	1280	960
Sat Aug 09 09:50:16 2014	1407570616	337	945	1282	945
Sat Aug 09 09:50:16 2014	1407570616	311	971	1282	971
Sat Aug 09 09:50:16 2014	1407570616	321	962	1282	962
Sat Aug 09 09:50:16 2014	1407570616	310	972	1282	972
Sat Aug 09 09:50:16 2014	1407570616	340	943	1283	943
Sat Aug 09 09:50:16 2014	1407570616	310	974	1284	974
Sat Aug 09 09:50:16 2014	1407570616	347	937	1284	937
Sat Aug 09 09:50:16 2014	1407570616	349	935	1284	935
Sat Aug 09 09:50:16 2014	1407570616	310	975	1285	975
Sat Aug 09 09:50:16 2014	1407570616	338	947	1285	947
Sat Aug 09 09:50:16 2014	1407570616	310	976	1286	976
Sat Aug 09 09:50:16 2014	1407570616	310	979	1289	979
Sat Aug 09 09:50:16 2014	1407570616	320	970	1290	970
Sat Aug 09 09:50:16 2014	1407570616	310	980	1290	980
Sat Aug 09 09:50:16 2014	1407570616	312	978	1291	978
Sat Aug 09 09:50:16 2014	1407570616	340	951	1291	951
Sat Aug 09 09:50:16 2014	1407570616	310	981	1291	981
Sat Aug 09 09:50:16 2014	1407570616	311	982	1293	982
Sat Aug 09 09:50:16 2014	1407570616	310	983	1293	983
Sat Aug 09 09:50:16 2014	1407570616	311	984	1294	984
Sat Aug 09 09:50:16 2014	1407570616	310	985	1295	984
Sat Aug 09 09:50:16 2014	1407570616	331	965	1296	965
Sat Aug 09 09:50:16 2014	1407570616	311	986	1296	986
Sat Aug 09 09:50:16 2014	1407570616	310	987	1297	987
Sat Aug 09 09:50:16 2014	1407570616	330	967	1297	967
Sat Aug 09 09:50:16 2014	1407570616	330	967	1298	967
Sat Aug 09 09:50:16 2014	1407570616	311	988	1299	988
Sat Aug 09 09:50:16 2014	1407570616	311	989	1300	989
Sat Aug 09 09:50:16 2014	1407570616	311	990	1301	990
Sat Aug 09 09:50:16 2014	1407570616	331	971	1301	971
Sat Aug 09 09:50:16 2014	1407570616	332	970	1302	970
Sat Aug 09 09:50:16 2014	1407570616	331	972	1303	972
Sat Aug 09 09:50:16 2014	1407570616	311	992	1303	991
Sat Aug 09 09:50:16 2014	1407570616	350	954	1303	954
Sat Aug 09 09:50:16 2014	1407570616	338	966	1304	966
Sat Aug 09 09:50:16 2014	1407570616	311	993	1304	993
Sat Aug 09 09:50:16 2014	1407570616	311	994	1305	994
Sat Aug 09 09:50:16 2014	1407570616	311	995	1306	995
Sat Aug 09 09:50:16 2014	1407570616	311	998	1310	998
Sat Aug 09 09:50:16 2014	1407570616	338	972	1310	972
